100 9900
5 48 4
5 49 1
5 50 7
5 51 7
5 52 8
5 53 2
5 54 10
5 55 4
5 56 1
5 57 10
5 58 8
5 59 6
5 60 9
5 61 4
5 62 10
5 63 4
5 64 2
5 65 5
5 66 9
5 67 3
5 68 1
5 69 2
5 70 9
5 71 3
5 72 9
5 73 9
5 74 9
5 75 2
5 76 9
5 77 3
5 78 3
5 79 1
5 80 8
5 81 2
5 82 8
5 83 3
5 84 10
5 85 2
5 86 3
5 87 9
5 88 5
5 89 1
5 90 7
5 91 4
5 92 1
5 93 4
5 94 9
5 95 8
5 96 8
5 97 4
5 98 3
5 99 1
6 0 1
6 1 9
6 2 1
6 3 3
6 4 5
6 5 5
6 7 9
6 8 7
6 9 4
6 10 3
6 11 6
6 12 5
6 13 7
6 14 8
6 15 9
6 16 1
6 17 1
6 18 10
6 19 9
6 20 9
6 21 5
6 22 5
6 23 7
6 24 8
6 25 3
6 26 9
6 27 8
6 28 5
6 29 6
6 30 2
6 31 1
6 32 3
6 33 2
6 34 5
6 35 10
6 36 1
6 37 9
6 38 3
6 39 4
6 40 9
6 41 4
6 42 1
6 43 2
6 44 1
6 45 6
6 46 7
6 47 9
6 48 10
6 49 9
6 50 2
6 51 3
6 52 8
6 53 3
6 54 5
6 55 10
6 56 4
6 57 1
6 58 4
6 59 2
6 60 8
6 61 8
6 62 5
6 63 8
6 64 8
6 65 7
6 66 4
6 67 7
6 68 2
6 69 9
6 70 1
6 71 6
6 72 4
6 73 2
6 74 1
6 75 8
6 76 3
6 77 3
6 78 4
6 79 3
6 80 8
6 81 8
6 82 4
6 83 5
6 84 4
6 85 4
6 86 7
6 87 2
6 88 5
6 89 10
6 90 7
6 91 7
6 92 7
6 93 1
6 94 9
6 95 8
6 96 6
6 97 8
6 98 2
6 99 10
7 0 3
7 1 1
7 2 1
7 3 1
7 4 3
7 5 4
7 6 3
7 8 1
7 9 1
7 10 6
7 11 3
7 12 6
7 13 5
7 14 7
7 15 9
7 16 2
7 17 2
7 18 9
7 19 2
7 20 10
7 21 10
7 22 3
7 23 3
7 24 5
7 25 8
7 26 5
7 27 5
7 28 9
7 29 1
7 30 7
7 31 1
7 32 10
7 33 2
7 34 3
7 35 8
7 36 1
7 37 9
7 38 6
7 39 6
7 40 7
7 41 9
7 42 8
7 43 2
7 44 1
7 45 5
7 46 6
7 47 1
7 48 9
7 49 7
7 50 9
7 51 4
7 52 2
7 53 4
7 54 6
7 55 4
7 56 9
7 57 1
7 58 3
7 59 1
7 60 4
7 61 4
7 62 6
7 63 5
7 64 3
7 65 7
7 66 10
7 67 7
7 68 9
7 69 8
7 70 7
7 71 4
7 72 8
7 73 6
7 74 5
7 75 4
7 76 10
7 77 5
7 78 7
7 79 5
7 80 9
7 81 1
7 82 10
7 83 7
7 84 4
7 85 2
7 86 3
7 87 7
7 88 1
7 89 9
7 90 2
7 91 5
7 92 1
7 93 6
7 94 4
7 95 1
7 96 4
7 97 4
7 98 10
7 99 9
8 0 10
8 1 5
8 2 8
8 3 6
8 4 10
8 5 5
8 6 4
8 7 6
8 9 10
8 10 9
8 11 9
8 12 9
8 13 6
8 14 10
8 15 2
8 16 4
8 17 6
8 18 10
8 19 10
8 20 4
8 21 4
8 22 10
8 23 3
8 24 9
8 25 5
8 26 5
8 27 9
8 28 1
8 29 10
8 30 7
8 31 5
8 32 3
8 33 4
8 34 2
8 35 3
8 36 4
8 37 9
8 38 7
8 39 7
8 40 9
8 41 6
8 42 9
8 43 5
8 44 1
8 45 10
8 46 10
8 47 9
8 48 9
8 49 1
8 50 4
8 51 6
8 52 8
8 53 5
8 54 5
8 55 10
8 56 8
8 57 8
8 58 2
8 59 8
8 60 5
8 61 8
8 62 3
8 63 7
8 64 8
8 65 1
8 66 4
8 67 6
8 68 8
8 69 8
8 70 6
8 71 1
8 72 6
8 73 4
8 74 4
8 75 5
8 76 10
8 77 8
8 78 2
8 79 8
8 80 3
8 81 10
8 82 2
8 83 10
8 84 7
8 85 2
8 86 10
8 87 10
8 88 4
8 89 6
8 90 10
8 91 8
8 92 9
8 93 4
8 94 9
8 95 2
8 96 10
8 97 8
8 98 10
8 99 7
9 0 7
9 1 3
9 2 4
9 3 10
9 4 10
9 5 6
9 6 4
9 7 4
9 8 1
9 10 7
9 11 6
9 12 3
9 13 1
9 14 1
9 15 7
9 16 4
9 17 4
9 18 3
9 19 5
9 20 7
9 21 6
9 22 8
9 23 9
9 24 10
9 25 4
9 26 6
9 27 7
9 28 4
9 29 5
9 30 2
9 31 1
9 32 7
9 33 9
9 34 9
9 35 8
9 36 4
9 37 4
9 38 8
9 39 6
9 40 2
9 41 4
9 42 6
9 43 4
9 44 8
9 45 7
9 46 3
9 47 4
9 48 2
9 49 1
9 50 1
9 51 7
9 52 9
9 53 3
9 54 3
9 55 7
9 56 1
9 57 10
9 58 5
9 59 6
9 60 10
9 61 7
9 62 8
9 63 5
9 64 5
9 65 6
9 66 2
9 67 8
9 68 5
9 69 6
9 70 5
9 71 1
9 72 7
9 73 3
9 74 1
9 75 5
9 76 10
9 77 5
9 78 7
9 79 5
9 80 1
9 81 9
9 82 9
9 83 4
9 84 2
9 85 10
9 86 7
9 87 1
9 88 2
9 89 1
9 90 10
9 91 10
9 92 5
9 93 6
9 94 8
9 95 4
9 96 3
9 97 4
9 98 10
9 99 7
10 0 1
10 1 6
10 2 9
10 3 2
10 4 1
10 5 4
10 6 3
10 7 7
10 8 9
10 9 8
10 11 7
10 12 10
10 13 8
10 14 10
10 15 2
10 16 6
10 17 1
10 18 3
10 19 1
10 20 7
10 21 2
10 22 5
10 23 9
10 24 6
10 25 4
10 26 1
10 27 7
10 28 8
10 29 10
10 30 3
10 31 5
10 32 1
10 33 1
10 34 10
10 35 4
10 36 8
10 37 9
10 38 6
10 39 10
10 40 5
10 41 1
10 42 6
10 43 3
10 44 10
10 45 10
10 46 3
10 47 5
10 48 9
10 49 7
10 50 8
10 51 5
10 52 8
10 53 4
10 54 2
10 55 3
10 56 8
10 57 1
10 58 5
10 59 10
10 60 5
10 61 7
10 62 4
10 63 10
10 64 3
10 65 5
10 66 7
10 67 1
10 68 2
10 69 9
10 70 10
10 71 5
10 72 4
10 73 2
10 74 3
10 75 3
10 76 10
10 77 2
10 78 3
10 79 9
10 80 7
10 81 2
10 82 5
10 83 9
10 84 8
10 85 6
10 86 5
10 87 1
10 88 5
10 89 4
10 90 6
10 91 8
10 92 2
10 93 9
10 94 9
10 95 10
10 96 5
10 97 1
10 98 8
10 99 2
11 0 8
11 1 2
11 2 8
11 3 2
11 4 7
11 5 9
11 6 10
11 7 6
11 8 5
11 9 9
11 10 3
11 12 7
11 13 9
11 14 4
11 15 8
11 16 8
11 17 2
11 18 5
11 19 5
11 20 1
11 21 10
11 22 1
11 23 5
11 24 6
11 25 3
11 26 9
11 27 2
11 28 8
11 29 2
11 30 1
11 31 2
11 32 4
11 33 8
11 34 1
11 35 5
11 36 2
11 37 9
11 38 6
11 39 3
11 40 2
11 41 6
11 42 9
11 43 9
11 44 1
11 45 9
11 46 1
11 47 3
11 48 1
11 49 5
11 50 9
11 51 2
11 52 1
11 53 2
11 54 8
11 55 3
11 56 1
11 57 1
11 58 9
11 59 10
11 60 2
11 61 9
11 62 10
11 63 5
11 64 2
11 65 7
11 66 8
11 67 2
11 68 9
11 69 9
11 70 6
11 71 7
11 72 9
11 73 7
11 74 8
11 75 7
11 76 7
11 77 2
11 78 3
11 79 1
11 80 4
11 81 8
11 82 2
11 83 1
11 84 8
11 85 10
11 86 5
11 87 3
11 88 4
11 89 3
11 90 10
11 91 3
11 92 8
11 93 5
11 94 4
11 95 2
11 96 3
11 97 2
11 98 4
11 99 2
12 0 7
12 1 4
12 2 9
12 3 8
12 4 5
12 5 9
12 6 5
12 7 10
12 8 2
12 9 6
12 10 8
12 11 3
12 13 10
12 14 10
12 15 8
12 16 4
12 17 9
12 18 1
12 19 7
12 20 4
12 21 2
12 22 6
12 23 1
12 24 7
12 25 1
12 26 9
12 27 9
12 28 7
12 29 9
12 30 2
12 31 6
12 32 2
12 33 2
12 34 8
12 35 9
12 36 1
12 37 1
12 38 2
12 39 2
12 40 8
12 41 5
12 42 3
12 43 9
12 44 10
12 45 9
12 46 10
12 47 4
12 48 9
12 49 7
12 50 9
12 51 5
12 52 2
12 53 6
12 54 6
12 55 10
12 56 8
12 57 2
12 58 10
12 59 9
12 60 3
12 61 10
12 62 9
12 63 2
12 64 3
12 65 10
12 66 6
12 67 6
12 68 4
12 69 1
12 70 10
12 71 1
12 72 6
12 73 4
12 74 4
12 75 3
12 76 6
12 77 10
12 78 4
12 79 5
12 80 10
12 81 6
12 82 8
12 83 3
12 84 9
12 85 1
12 86 2
12 87 5
12 88 9
12 89 6
12 90 5
12 91 2
12 92 3
12 93 4
12 94 9
12 95 6
12 96 8
12 97 10
12 98 10
12 99 4
13 0 5
13 1 9
13 2 4
13 3 4
13 4 8
13 5 7
13 6 1
13 7 8
13 8 3
13 9 7
13 10 4
13 11 5
13 12 4
13 14 10
13 15 1
13 16 5
13 17 5
13 18 4
13 19 2
13 20 9
13 21 6
13 22 4
13 23 5
13 24 2
13 25 8
13 26 8
13 27 6
13 28 10
13 29 2
13 30 7
13 31 5
13 32 9
13 33 5
13 34 8
13 35 2
13 36 8
13 37 9
13 38 10
13 39 2
13 40 7
13 41 4
13 42 8
13 43 3
13 44 1
13 45 8
13 46 1
13 47 7
13 48 3
13 49 9
13 50 7
13 51 6
13 52 9
13 53 6
13 54 1
13 55 5
13 56 5
13 57 10
13 58 5
13 59 8
13 60 8
13 61 4
13 62 9
13 63 9
13 64 1
13 65 3
13 66 5
13 67 10
13 68 7
13 69 8
13 70 6
13 71 10
13 72 2
13 73 6
13 74 9
13 75 8
13 76 7
13 77 10
13 78 10
13 79 5
13 80 5
13 81 7
13 82 2
13 83 4
13 84 4
13 85 8
13 86 9
13 87 9
13 88 7
13 89 4
13 90 1
13 91 10
13 92 3
13 93 9
13 94 9
13 95 6
13 96 4
13 97 7
13 98 4
13 99 3
14 0 5
14 1 7
14 2 9
14 3 8
14 4 6
14 5 4
14 6 2
14 7 1
14 8 8
14 9 1
14 10 7
14 11 5
14 12 8
14 13 9
14 15 3
14 16 3
14 17 6
14 18 8
14 19 2
14 20 10
14 21 4
14 22 3
14 23 6
14 24 1
14 25 1
14 26 2
14 27 4
14 28 8
14 29 8
14 30 8
14 31 4
14 32 9
14 33 9
14 34 7
14 35 10
14 36 3
14 37 3
14 38 9
14 39 3
14 40 5
14 41 3
14 42 3
14 43 1
14 44 5
14 45 10
14 46 7
14 47 8
14 48 4
14 49 6
14 50 4
14 51 5
14 52 8
14 53 10
14 54 9
14 55 2
14 56 5
14 57 7
14 58 1
14 59 1
14 60 2
14 61 4
14 62 7
14 63 7
14 64 2
14 65 9
14 66 7
14 67 7
14 68 5
14 69 5
14 70 2
14 71 8
14 72 2
14 73 6
14 74 6
14 75 4
14 76 3
14 77 4
14 78 10
14 79 2
14 80 10
14 81 7
14 82 5
14 83 7
14 84 7
14 85 2
14 86 3
14 87 2
14 88 9
14 89 8
14 90 4
14 91 2
14 92 8
14 93 6
14 94 4
14 95 7
14 96 10
14 97 1
14 98 2
14 99 7
15 0 5
15 1 10
15 2 9
15 3 3
15 4 6
15 5 5
15 6 2
15 7 9
15 8 9
15 9 10
15 10 5
15 11 5
15 12 10
15 13 7
15 14 7
15 16 10
15 17 7
15 18 7
15 19 1
15 20 4
15 21 2
15 22 3
15 23 7
15 24 3
15 25 5
15 26 7
15 27 2
15 28 5
15 29 8
15 30 5
15 31 6
15 32 10
15 33 4
15 34 10
15 35 9
15 36 10
15 37 9
15 38 1
15 39 10
15 40 4
15 41 3
15 42 10
15 43 4
15 44 5
15 45 2
15 46 9
15 47 9
15 48 10
15 49 4
15 50 10
15 51 1
15 52 6
15 53 8
15 54 6
15 55 6
15 56 8
15 57 3
15 58 10
15 59 2
15 60 7
15 61 10
15 62 5
15 63 4
15 64 6
15 65 10
15 66 8
15 67 8
15 68 3
15 69 7
15 70 9
15 71 9
15 72 5
15 73 10
15 74 3
15 75 9
15 76 3
15 77 8
15 78 9
15 79 9
15 80 3
15 81 4
15 82 7
15 83 8
15 84 10
15 85 9
15 86 6
15 87 3
15 88 2
15 89 8
15 90 9
15 91 3
15 92 1
15 93 4
15 94 6
15 95 9
15 96 9
15 97 3
15 98 5
15 99 10
16 0 2
16 1 6
16 2 10
16 3 1
16 4 2
16 5 5
16 6 9
16 7 9
16 8 10
16 9 3
16 10 6
16 11 10
16 12 7
16 13 1
16 14 6
16 15 5
16 17 7
16 18 9
16 19 2
16 20 9
16 21 7
16 22 2
16 23 10
16 24 10
16 25 7
16 26 1
16 27 7
16 28 9
16 29 1
16 30 5
16 31 1
16 32 4
16 33 3
16 34 10
16 35 3
16 36 8
16 37 10
16 38 3
16 39 9
16 40 3
16 41 10
16 42 2
16 43 7
16 44 2
16 45 4
16 46 10
16 47 4
16 48 5
16 49 8
16 50 5
16 51 10
16 52 4
16 53 9
16 54 3
16 55 5
16 56 6
16 57 7
16 58 10
16 59 8
16 60 2
16 61 3
16 62 9
16 63 2
16 64 4
16 65 2
16 66 7
16 67 2
16 68 2
16 69 2
16 70 5
16 71 5
16 72 6
16 73 2
16 74 3
16 75 8
16 76 6
16 77 5
16 78 4
16 79 8
16 80 3
16 81 4
16 82 8
16 83 9
16 84 7
16 85 9
16 86 4
16 87 9
16 88 9
16 89 8
16 90 9
16 91 10
16 92 8
16 93 4
16 94 10
16 95 6
16 96 6
16 97 3
16 98 4
16 99 8
17 0 1
17 1 3
17 2 2
17 3 3
17 4 3
17 5 9
17 6 1
17 7 8
17 8 1
17 9 7
17 10 5
17 11 1
17 12 6
17 13 3
17 14 4
17 15 8
17 16 3
17 18 4
17 19 5
17 20 10
17 21 9
17 22 5
17 23 2
17 24 1
17 25 7
17 26 8
17 27 2
17 28 2
17 29 2
17 30 9
17 31 6
17 32 1
17 33 1
17 34 2
17 35 6
17 36 10
17 37 1
17 38 3
17 39 10
17 40 4
17 41 6
17 42 5
17 43 8
17 44 8
17 45 6
17 46 9
17 47 10
17 48 3
17 49 6
17 50 10
17 51 9
17 52 3
17 53 5
17 54 2
17 55 3
17 56 7
17 57 5
17 58 9
17 59 6
17 60 6
17 61 7
17 62 5
17 63 9
17 64 6
17 65 8
17 66 6
17 67 1
17 68 10
17 69 4
17 70 4
17 71 4
17 72 8
17 73 2
17 74 8
17 75 9
17 76 1
17 77 2
17 78 1
17 79 9
17 80 2
17 81 9
17 82 5
17 83 6
17 84 6
17 85 1
17 86 4
17 87 10
17 88 2
17 89 8
17 90 5
17 91 1
17 92 5
17 93 5
17 94 10
17 95 6
17 96 10
17 97 4
17 98 4
17 99 6
18 0 4
18 1 9
18 2 5
18 3 6
18 4 4
18 5 5
18 6 3
18 7 3
18 8 9
18 9 2
18 10 8
18 11 10
18 12 6
18 13 2
18 14 10
18 15 2
18 16 5
18 17 7
18 19 10
18 20 9
18 21 9
18 22 2
18 23 5
18 24 10
18 25 7
18 26 1
18 27 5
18 28 7
18 29 2
18 30 5
18 31 9
18 32 4
18 33 6
18 34 5
18 35 1
18 36 8
18 37 8
18 38 3
18 39 10
18 40 4
18 41 9
18 42 3
18 43 5
18 44 10
18 45 9
18 46 3
18 47 4
18 48 10
18 49 1
18 50 5
18 51 2
18 52 10
18 53 9
18 54 7
18 55 10
18 56 6
18 57 3
18 58 5
18 59 9
18 60 8
18 61 5
18 62 9
18 63 8
18 64 3
18 65 2
18 66 7
18 67 9
18 68 4
18 69 2
18 70 1
18 71 8
18 72 2
18 73 10
18 74 5
18 75 7
18 76 6
18 77 5
18 78 9
18 79 3
18 80 7
18 81 7
18 82 7
18 83 1
18 84 10
18 85 6
18 86 3
18 87 3
18 88 5
18 89 5
18 90 4
18 91 10
18 92 5
18 93 9
18 94 7
18 95 4
18 96 4
18 97 4
18 98 8
18 99 6
19 0 9
19 1 8
19 2 8
19 3 1
19 4 2
19 5 6
19 6 8
19 7 7
19 8 4
19 9 5
19 10 7
19 11 8
19 12 5
19 13 1
19 14 3
19 15 3
19 16 9
19 17 4
19 18 5
19 20 4
19 21 4
19 22 4
19 23 2
19 24 1
19 25 3
19 26 2
19 27 2
19 28 7
19 29 2
19 30 5
19 31 2
19 32 1
19 33 8
19 34 5
19 35 3
19 36 3
19 37 4
19 38 10
19 39 10
19 40 6
19 41 5
19 42 3
19 43 5
19 44 9
19 45 9
19 46 9
19 47 5
19 48 6
19 49 2
19 50 9
19 51 7
19 52 9
19 53 4
19 54 8
19 55 10
19 56 5
19 57 7
19 58 10
19 59 8
19 60 5
19 61 2
19 62 10
19 63 4
19 64 2
19 65 8
19 66 4
19 67 8
19 68 9
19 69 2
19 70 2
19 71 5
19 72 10
19 73 9
19 74 3
19 75 6
19 76 2
19 77 9
19 78 3
19 79 2
19 80 7
19 81 1
19 82 4
19 83 7
19 84 1
19 85 6
19 86 6
19 87 9
19 88 2
19 89 8
19 90 6
19 91 10
19 92 10
19 93 10
19 94 6
19 95 2
19 96 2
19 97 2
19 98 9
19 99 1
20 0 4
20 1 2
20 2 5
20 3 5
20 4 6
20 5 4
20 6 5
20 7 6
20 8 1
20 9 9
20 10 5
20 11 3
20 12 8
20 13 2
20 14 8
20 15 3
20 16 7
20 17 2
20 18 10
20 19 5
20 21 1
20 22 2
20 23 1
20 24 1
20 25 1
20 26 8
20 27 5
20 28 3
20 29 6
20 30 10
20 31 7
20 32 1
20 33 2
20 34 4
20 35 2
20 36 6
20 37 10
20 38 2
20 39 4
20 40 7
20 41 9
20 42 8
20 43 1
20 44 4
20 45 4
20 46 5
20 47 7
20 48 1
20 49 1
20 50 9
20 51 1
20 52 6
20 53 10
20 54 2
20 55 3
20 56 6
20 57 1
20 58 1
20 59 4
20 60 10
20 61 8
20 62 9
20 63 2
20 64 8
20 65 3
20 66 5
20 67 4
20 68 3
20 69 7
20 70 8
20 71 4
20 72 4
20 73 9
20 74 5
20 75 8
20 76 9
20 77 5
20 78 1
20 79 6
20 80 10
20 81 2
20 82 2
20 83 5
20 84 10
20 85 5
20 86 9
20 87 9
20 88 7
20 89 6
20 90 3
20 91 6
20 92 7
20 93 5
20 94 6
20 95 6
20 96 2
20 97 2
20 98 4
20 99 4
21 0 10
21 1 4
21 2 1
21 3 7
21 4 2
21 5 9
21 6 1
21 7 9
21 8 9
21 9 7
21 10 4
21 11 2
21 12 5
21 13 8
21 14 1
21 15 5
21 16 8
21 17 2
21 18 2
21 19 1
21 20 6
21 22 6
21 23 7
21 24 10
21 25 7
21 26 8
21 27 5
21 28 3
21 29 8
21 30 4
21 31 3
21 32 4
21 33 1
21 34 1
21 35 8
21 36 5
21 37 5
21 38 10
21 39 1
21 40 1
21 41 1
21 42 8
21 43 7
21 44 3
21 45 1
21 46 1
21 47 6
21 48 5
21 49 8
21 50 2
21 51 4
21 52 9
21 53 1
21 54 8
21 55 9
21 56 10
21 57 4
21 58 5
21 59 1
21 60 7
21 61 4
21 62 3
21 63 9
21 64 5
21 65 1
21 66 8
21 67 10
21 68 2
21 69 6
21 70 6
21 71 4
21 72 9
21 73 3
21 74 10
21 75 9
21 76 10
21 77 8
21 78 2
21 79 7
21 80 5
21 81 7
21 82 7
21 83 5
21 84 5
21 85 10
21 86 9
21 87 1
21 88 1
21 89 9
21 90 9
21 91 3
21 92 10
21 93 3
21 94 2
21 95 9
21 96 2
21 97 5
21 98 1
21 99 7
22 0 2
22 1 2
22 2 3
22 3 1
22 4 8
22 5 9
22 6 5
22 7 1
22 8 1
22 9 8
22 10 8
22 11 8
22 12 9
22 13 3
22 14 2
22 15 6
22 16 10
22 17 10
22 18 7
22 19 8
22 20 2
22 21 1
22 23 7
22 24 6
22 25 9
22 26 4
22 27 7
22 28 9
22 29 1
22 30 5
22 31 4
22 32 1
22 33 5
22 34 9
22 35 7
22 36 2
22 37 6
22 38 10
22 39 8
22 40 10
22 41 6
22 42 7
22 43 2
22 44 10
22 45 3
22 46 1
22 47 9
22 48 2
22 49 3
22 50 7
22 51 8
22 52 3
22 53 2
22 54 1
22 55 7
22 56 2
22 57 8
22 58 8
22 59 2
22 60 4
22 61 3
22 62 7
22 63 9
22 64 5
22 65 1
22 66 1
22 67 3
22 68 4
22 69 8
22 70 6
22 71 2
22 72 1
22 73 2
22 74 4
22 75 4
22 76 5
22 77 6
22 78 1
22 79 5
22 80 7
22 81 10
22 82 4
22 83 9
22 84 3
22 85 9
22 86 3
22 87 10
22 88 7
22 89 1
22 90 2
22 91 6
22 92 10
22 93 10
22 94 3
22 95 5
22 96 9
22 97 2
22 98 6
22 99 3
23 0 4
23 1 3
23 2 1
23 3 9
23 4 6
23 5 1
23 6 8
23 7 5
23 8 1
23 9 2
23 10 4
23 11 2
23 12 6
23 13 10
23 14 8
23 15 7
23 16 10
23 17 1
23 18 1
23 19 2
23 20 6
23 21 3
23 22 10
23 24 4
23 25 8
23 26 3
23 27 10
23 28 7
23 29 2
23 30 3
23 31 3
23 32 1
23 33 10
23 34 6
23 35 6
23 36 10
23 37 5
23 38 6
23 39 6
23 40 6
23 41 4
23 42 5
23 43 9
23 44 9
23 45 6
23 46 3
23 47 3
23 48 3
23 49 4
23 50 4
23 51 8
23 52 6
23 53 2
23 54 1
